C3:C4:C1:C2
Material	Number of occurrences	C1:virus	C1:bacteria	C1:fungus	C1:plant	C1:animalia 	C1:insect	C1:fish	C1:arachnid	C2:molecular entity	C2:cellular part	C2:cell	C2:tissue	C2:organism	C2:organ	C3:biological	C3:device	C3:chemical	C3:data	C4:raw data	C4:processed data	C4:analysed data
pons	412														1	1						
matched normal tissue	410														1	1						
breast cancer reference sample	403														1	1						
tumor	397														1	1						
whole brain	387														1	1						
whole lung	380														1	1						
utricle sensory epithelia	378														1	1						
embryos	371														1	1						
shoot	370														1	1						
kidney cortex	369														1	1						
kidney medulla	349														1	1						
frontal cortex	344														1	1						
hepatopancreas	336														1	1						
bone marrow or peripheral blood	335														1	1						
peripheral blood mononuclear cells	319														1	1						
embryo derived cell line	312														1	1						
mammary gland	312														1	1						
lymphocytes	311														1	1						
thymus	303														1	1						
xylem	294														1	1						
breast cancer tumor	291														1	1						
leaflet	288														1	1						
pectoralis major muscle	288														1	1						
cord blood	259														1	1						
myeloma cells	258														1	1						
whole plant	254														1	1						
ovary	252														1	1						
liver tumor tissue	244														1	1						
liver tissue (non tumorous)	241														1	1						
liver tissue (tumor)	241														1	1						
liver non tumor tissue	231														1	1						
blood cells	227														1	1						
ovule	226														1	1						
whole flies	226														1	1						
white muscle	214														1	1						
retina	213														1	1						
wing imaginal disc	213														1	1						
pancreas	207														1	1						
liver tumor	204														1	1						
head kidney	201														1	1						
proximal ileal margin	198														1	1						
mixture of normal colorectal mucosa	198														1	1						
bone marrow derived macrophages	198														1	1						
primary medulloblastoma	193														1	1						
adjacent liver non tumor	193														1	1						
"from the leader of each tree, bark with attached phloem and cambium"	188														1	1						
cervix	188														1	1						
extremities	187														1	1						
total white blood cells (wbcs)	186														1	1						
subcutaneous adipose tissue	185														1	1						
late stage high grade ovarian cancer	185														1	1						
muscle	185														1	1						
colon tumor	183														1	1						
above ground seedling	182														1	1						
whole brain.	179														1	1						
whole mammary gland	176														1	1						
fresh frozen breast tumor	162														1	1						
hippocampus	161														1	1						
periferal blood mononuclear cells	160														1	1						
melanoma metastasis	158														1	1						
colorectal cancer	158														1	1						
uterus	156														1	1						
roots	155														1	1						
cardiac	152														1	1						
femur	149														1	1						
lung cancer	148														1	1						
seed	148														1	1						
whole embryo	147														1	1						
gluteus medius muscle	145														1	1						
b cell lymphoma	144														1	1						
larvae	143														1	1						
medulloblastoma	142														1	1						
mixture of normal gastric mucosa	141														1	1						
primary gastric cancer	141														1	1						
telencephalon	141														1	1						
pooled brain tissue reference used for main experiment	140														1	1						
mucosa	140														1	1						
esophageal squamous cell carcinoma	137														1	1						
meningioma tumor	136														1	1						
foot	136														1	1						
fctx	132														1	1						
grape bud	132														1	1						
patient primary pancreatic tumor	132														1	1						
stratagene human reference rna	132														1	1						
brain tumor	131														1	1						
substantia nigra	130														1	1						
endometrium	130														1	1						
superior frontal gyrus of the brain	129														1	1						
dentate gyrus	128														1	1						
colorecal cancer	125														1	1						
tail	125														1	1						
gill tissue	124														1	1						
left ventricle	124														1	1						
stomach	123														1	1						
umbilical cord blood	123														1	1						
epithelium	120														1	1						
flag leaf	120														1	1						
"skeletal muscle, vastus lateralis"	118														1	1						
sperm	118														1	1						
whole animals	118														1	1						
whole striatum	116														1	1						
prostate xenograft	116														1	1						
cerebrum	114														1	1						
ovarian cancer	114														1	1						
rhizome sample	112														1	1						
xylem from field grown trees	112														1	1						
earshoot	112														1	1						
lung tissue	111														1	1						
vastus lateralis	111														1	1						
complete hydatidiform mole	110														1	1						
soleus muscle	109														1	1						
cns derived cell line	108														1	1						
bone (ulna)	108														1	1						
brain/lung/thymus/spleen/kidney/heart/ovary/testis/liver	108														1	1						
cell line	108														1	1						
lung tumor	106														1	1						
median liver lobe	104														1	1						
primary ovarian tumor	104														1	1						
digestive gland	103														1	1						
testes	102														1	1						
ileum	102														1	1						
diffuse large b cell lymphoma (dlbcl)	101														1	1						
whole hippocampus	100														1	1						
colorectal	100														1	1						
whole body extracts (40 organisms)	100														1	1						
primary tumor	99														1	1						
liver (chronic hepatitis)	99														1	1						
ovarian tumor tissue	98														1	1						
posterior fossa	97														1	1						
longissimus dorsi skeletal muscle biopsy	96														1	1						
whole individual	96														1	1						
leaf tissue disks directly under the inoculation (water or p. infestans) location	96														1	1						
node 1	96														1	1						
gastrointestinal stromal tumor	95														1	1						
pleural mesothelioma	92														1	1						
"inoculated leaves, approximately 1cm from the inoculation location"	92														1	1						
quadriceps muscle	91														1	1						
colon adenocarcinoma stage ii	90														1	1						
semen	90														1	1						
vastus lateralis muscle biopsy	90														1	1						
interior bark and phloem tissues	90														1	1						
tarsal conjunctiva	89														1	1						
tous	88														1	1						
"adipose tissue, liver, skeletal muscle"	88														1	1						
macrophage	88														1	1						
node 2	88														1	1						
intestine	87														1	1						
brain cerebellum	87														1	1						
whole seedling;	86														1	1						
whole seedling	86														1	1						
breast tumour	85														1	1						
jejunum	85														1	1						
spinal cord	85														1	1						
non small cell lung cancer	85														1	1						
whole plant 5 cm above ground	84														1	1						
breast cancer fna biopsy	82														1	1						
primary intracranial pediatric germ cell tumor (gct)	82														1	1						
liver carcinoma	81														1	1						
noncancerous liver tissue	81														1	1						
sporadic tumor	81														1	1						
immature cotton fiber cells	80														1	1						
gastric cancer tissue	80														1	1						
normal gastric tissue	80														1	1						
ccrcc tumor and blood	80														1	1						
soleus muscle biopsy	80														1	1						
"lactating mammary gland,"	80														1	1						
non neoplastic gastric mucosa	80														1	1						
dorsal mesothoracic disc	79														1	1						
prostate cancer primary tumor	79														1	1						
trophectoderm	79														1	1						
melanoma	78														1	1						
"cancer, lcm"	77														1	1						
adipose tissue	77														1	1						
colon cancer	76														1	1						
colon biopsies	76														1	1						
human esophageal adenocarcinoma	76														1	1						
mammary tissue	75														1	1						
clear cell renal cell caricinoma	74														1	1						
posterior psm	74														1	1						
leaf primordia	72														1	1						
ovarian	72														1	1						
16 pooled daphnids	72														1	1						
striatum (brain)	71														1	1						
aorta	71														1	1						
mixture of 11 cell lines	70														1	1						
duodenum	70														1	1						
whole blood leukocytes	70														1	1						
whole larvae	70														1	1						
mycelia	70														1	1						
clear cell	70														1	1						
pituitary	69														1	1						
tongue	69														1	1						
vegetative part	69														1	1						
unfertilized ovules	68														1	1						
normal colon mucosa obtained from the same patient as channel 1	68														1	1						
whole animal	68														1	1						
normal	68														1	1						
small intestine	68														1	1						
myocard	68														1	1						
dorsolateral prefrontal cortex of the brain	67														1	1						
cardiac left ventricle	67														1	1						
whole ugs pool	66														1	1						
female	66														1	1						
all tissues	66														1	1						
internal trunk	66														1	1						
gastrocnemius muscle	66														1	1						
meningioma	65														1	1						
postnatal svz	65														1	1						
tonsil	65														1	1						
reference rna pool	65														1	1						
pancreatic islets	64														1	1						
spinal	64														1	1						
aortic arch	64														1	1						
alveolar rhabdomyosarcoma tumor	64														1	1						
gluteus medius	64														1	1						
macro	64														1	1						
leaf tissue	63														1	1						
uveal melanoma (eye)	63														1	1						
lung scc	62														1	1						
lymphoblastoid cell lines	62														1	1						
a mixture of various cell lines from various tissues from homo sapiens	62														1	1						
male	62														1	1						
synovial tissue	62														1	1						
stageii colorectal cancer with no recurrence	62														1	1						
normal mammary sample	61														1	1						
whole fish	61														1	1						
bone marrow mononuclear cells from cn aml patient	61														1	1						
hepatocyte	61														1	1						
liver biopsy	60														1	1						
whole juveniles	60														1	1						
bronchial epithelium	60														1	1						
m. vastus lateralis	60														1	1						
esophageal squamous cell carcinoma tumor	60														1	1						
paired normal adjacent	60														1	1						
immature ear	60														1	1						
metastatic tumor	60														1	1						
node 3	60														1	1						
oral tumor	60														1	1						
gonadal fat	60														1	1						
stageiii colorectal cancer with no recurrence	59														1	1						
prostate cancer	58														1	1						
bladder	58														1	1						
central brain	57														1	1						
seedling shoots	57														1	1						
inguinal fat	57														1	1						
epidermis	57														1	1						
huvec	56														1	1						
human foreskin fibroblast (hff)	56														1	1						
gastric cancer tumor	56														1	1						
bone marrow derived dendritic cells	56														1	1						
guthrie blood	55														1	1						
dissected dorsal abdominal epidermis	55														1	1						
primary breast tumor	55														1	1						
pro b cells	55														1	1						
blood of a patient with ch.	55														1	1						
rosette leaf	55														1	1						
female peripheral blood	54														1	1						
adrenal gland	54														1	1						
trunk wall	54														1	1						
breast epithelium	54														1	1						
brain glioblastoma tumor	54														1	1						
ear	54														1	1						
colonic mucosa	54														1	1						
whole body extracts	54														1	1						
whole kidney	53														1	1						
afferent lymph collected over a 8 week period from sheep 1001 6	52														1	1						
abdominal adipose tissue	52														1	1						
distal colon	51														1	1						
barrett's esophagus	51														1	1						
inner cell mass	51														1	1						
papillary thyroid carcinoma	51														1	1						
cortex	50														1	1						
human reference dna	50														1	1						
lobuloalveolar gland region	49														1	1						
pooled lymphoblastoid genomic dna from ten male individuals	49														1	1						
"soft tissue sarcoma of the extremity, primary tumor, fresh frozen"	49														1	1						
epc early	48														1	1						
central nucleus of amygdala	48														1	1						
"mature leaf, including petiole"	48														1	1						
ovary pieces	48														1	1						
epc late	48														1	1						
nucleus accumbens shell	48														1	1						
pars tuberalis	48														1	1						
gastric adenoma	48														1	1						
splenic cd4 t cells	48														1	1						
tuber	48														1	1						
mammary	48														1	1						
hypothalamus and preoptic area	48														1	1						
leaves from mesocosm	48														1	1						
afferent lymph collected over a 12 week period from sheep 1001 6	48														1	1						
"seedlings, aerial tissue"	48														1	1						
lens	48														1	1						
gonad	48														1	1						
liver biopsy lcm	48														1	1						
anterior liver	48														1	1						
liver wedge biopsy	47														1	1						
primary breast tumour	47														1	1						
stageiii colorectal cancer with distant recurrence	47														1	1						
brain (medial prefrontal cortex)	47														1	1						
adenocarcinoma	45														1	1						
skin biopsy	45														1	1						
adult tissue pools	45														1	1						
cerebral cortex	45														1	1						
whole seedlings	44														1	1						
shoot tips (terminal buds)	44														1	1						
plasma	44														1	1						
whole third instar male larvae	44														1	1						
2 leaves	44														1	1						
diagnostic bone marrow	44														1	1						
distal lung	44														1	1						
normal blood	43														1	1						
whole larva	43														1	1						
serous ovarian cancer	42														1	1						
root hair cells from seedlings	42														1	1						
leaf sample	42														1	1						
myometrium	42														1	1						
pool of 20 adult tissues	42														1	1						
high grade late stage serous tumor	42														1	1						
tracheobronchial lymph nodes	42														1	1						
rosette leaves	42														1	1						
corpus luteum	42														1	1						
uterine fibroid	42														1	1						
inguinal lymph node	42														1	1						
skin tumor	41														1	1						
proximal colon	41														1	1						
laser capture microdissected human breast	40														1	1						
right lung	40														1	1						
embryonic kidney	40														1	1						
whole testis	40														1	1						
pooled spleen and lymph nodes	40														1	1						
half transcardially perfused brain cut along sagittal sulcus	40														1	1						
"tympanic membrane, pars tensa"	40														1	1						
gastric carcinoma in situ	40														1	1						
primary lung adenocarcinoma	39														1	1						
whole liver	39														1	1						
"heart, left ventricle"	39														1	1						
root sample	38														1	1						
breast tumor from washu	38														1	1						
whole body extracts (45 organisms);	38														1	1						
dorsal skin	38														1	1						
leukocytes	38														1	1						
p53 deficient mammary epithelial tumor	38														1	1						
universal rna	38														1	1						
mycelium	38														1	1						
panicle	38														1	1						
head and neck squamous cell carcinoma	38														1	1						
peripheral whole blood	38														1	1						
temporal lobe	37														1	1						
"reference pool of normal adult tissues (10% prostate and 30% each testis, liver, and kidney)"	37														1	1						
meningeal	37														1	1						
biopsied liver (right lobe) tissue	37														1	1						
gliomatosis cerebri	37														1	1						
maize kernels	36														1	1						
vastus lateralis basal skeletal muscle	36														1	1						
thyroid	36														1	1						
single stem	36														1	1						
blood of a donor pool of 5 healthy females.	36														1	1						
"pooled leaf material from 6 8 plants, 3 4 leaves per plant"	36														1	1						
eye antennal imaginal discs	36														1	1						
carcinoma	36														1	1						
epididymal white adipose tissue (ewat)	36														1	1						
midguts/fatbodies	36														1	1						
fibre	36														1	1						
tumor tissue in pancreatic cancer sample	36														1	1						
peripheral nerve sheath	36														1	1						
flag leaves	36														1	1						
mammary tissue without histomorphological changes obtained from reduction mammoplasty specimens	35														1	1						
sural nerve	35														1	1						
striatum	35														1	1						
left ventricle myocardium	35														1	1						
foreskin	34														1	1						
cornea	34														1	1						
pooled cell lines	34														1	1						
microsatellite instability (msi) colorectal tumor	34														1	1						
osteosarcoma	34														1	1						
synovial sarcoma tumor tissue	34														1	1						
normal tissue	33														1	1						
nucleus accumbens	33														1	1						
primary breast cancer	33														1	1						
liver tissue	33														1	1						
shoots	33														1	1						
breast cancer cell line	33														1	1						
aerial tissue	32														1	1						
metastatic rcc tumor	32														1	1						
testis pieces	32														1	1						
"pool of caprine lactating mammary gland, muscle, adipose tissue, heart, liver, spleen, kidney, lung, and uterus"	32														1	1						
human lmd dissected breast cancer	32														1	1						
primary chondrocytes	32														1	1						
mesenteric arterial tree	32														1	1						
prefrontal cortex (brain)	32														1	1						
whole body or cocoon	32														1	1						
peripheral blood lymphocytes	32														1	1						
salivary glands	32														1	1						
dorsal muscle	32														1	1						
primary rcc tumor	32														1	1						
lymphoma	32														1	1						
lumbar spinal cord anterior horn motor neurons	32														1	1						
penile smooth muscle	32														1	1						
aerial	32														1	1						
human foreskin gender male	32														1	1						
cells surrounding lumbar spinal cord anterior horn motor neurons	32														1	1						
rectal carcinoma	32														1	1						
bacterial cells	32														1	1						
diencephalon	31														1	1						
apl spleen	31														1	1						
dissected dorsal prothoracic epidermis	31														1	1						
stem	31														1	1						
cadeveric eye	31														1	1						
at least 80% of neuroblasts	31														1	1						
"dechorinated embryo, flow sorted cells"	31														1	1						
normal cervix	30														1	1						
cranial lung	30														1	1						
fruit pericarp and endocarp	30														1	1						
stageii colorectal cancer with distant recurrence	30														1	1						
omental adipose	30														1	1						
ca1 subregions of the hippocampus	30														1	1						
dentate gyrus (dg)	30														1	1						
adrenal cortex	30														1	1						
prefrontal cortex area 9	30														1	1						
juvenile testes	30														1	1						
brain microvascular fragments	30														1	1						
whole rosette	30														1	1						
normal colon	29														1	1						
benign epithelium	29														1	1						
maternal blood cells	29														1	1						
proximal duodenum	28														1	1						
adult subventricular zone neural precursor cells	28														1	1						
ventral nerve cord	28														1	1						
subcutaneous adipose	28														1	1						
breast tumor biopsy	28														1	1						
whole mouse total rna	28														1	1						
subcutaneous fat cells	28														1	1						
meninges and vasculature	28														1	1						
cns	28														1	1						
cutaneous	28														1	1						
amygdala	28														1	1						
striatum (brain region)	28														1	1						
"all above ground tissues (leaves, stems, flowers, siliques)"	28														1	1						
cambium	27														1	1						
femoral marrow (intramedullary) tissue	27														1	1						
"reference pool of lncap, du145, pc3, and cwr22 cell lines"	27														1	1						
adult male	27														1	1						
parietal cortex (brain regions)	27														1	1						
mesc derived post mitotic neurons	27														1	1						
fetal liver	27														1	1						
vegetative mycelium	27														1	1						
primary brain tumor	27														1	1						
whole heart	27														1	1						
squamous cell carcinoma	27														1	1						
uterine cervix	27														1	1						
tibialis anterior muscle	26														1	1						
tumor rna lung	26														1	1						
left atrial appendage	26														1	1						
part of lung	26														1	1						
neuroblastoma tumor	26														1	1						
lower peripheral lung zone	26														1	1						
postnatal cerebella	26														1	1						
pupae	26														1	1						
posterior neural tube	26														1	1						
brain (prefrontal cortical region)	26														1	1						
dorsal root ganglia	26														1	1						
14 day old roots	26														1	1						
"normal whole liver tissue, at time when breast tumor of matched tumor bearing mouse had reached 1 cm size"	25														1	1						
"tumor whole breast tissue, at 1 cm tumor size"	25														1	1						
"normal whole spleen tissue, at time when breast tumor had reached 1 cm size"	25														1	1						
biceps femoris	25														1	1						
"normal whole blood cells (blood with plasma fraction removed), at time when breast tumor had reached 1 cm size"	25														1	1						
"normal whole liver tissue, at time when breast tumor had reached 1 cm size"	25														1	1						
"normal whole breast tissue, at time when matched tumor bearing mouse had 1 cm breast tumor"	25														1	1						
trachea	25														1	1						
mantle	25														1	1						
"normal whole blood cells (blood with plasma fraction removed), at time when breast tumor of matched tumor bearing mouse had reached 1 cm size"	25														1	1						
"normal whole spleen tissue, at time when breast tumor of matched tumor bearing mouse had reached 1 cm size"	25														1	1						
embryonic fibroblasts	25														1	1						
"normal whole thymus tissue, at time when breast tumor of matched tumor bearing mouse had reached 1 cm size"	25														1	1						
"normal whole thymus tissue, at time when breast tumor had reached 1 cm size"	25														1	1						
subcutaneous abdominal adipose tissue	25														1	1						
young leaves	25														1	1						
soft tissue overlying calvarial bone	25														1	1						
cultured skin substitute	25														1	1						
mesophyll protoplasts	24														1	1						
whole roots	24														1	1						
subventricular zones	24														1	1						
musculus gastrocnemius	24														1	1						
gastrocnemius and plantaris muscles	24														1	1						
leaves of five week old plants	24														1	1						
central nervous system (cns)	24														1	1						
"whole carypses from the mid region of the spike, awns removed"	24														1	1						
benign nevus	24														1	1						
synovium	24														1	1						
root apex (5mm)	24														1	1						
"hematopoietic, cord blood"	24														1	1						
metastatic melanoma	24														1	1						
malignant peripheral nerve sheath tumours	24														1	1						
limb muscles	24														1	1						
colorectal mucosa	24														1	1						
white blood cells	24														1	1						
porcine aortic valve	24														1	1						
monocytic leukemia	24														1	1						
pre operative human heart	24														1	1						
dorsal raphe nucleus	24														1	1						
sorted cells from embryoid body	24														1	1						
mucosa (tongue)	24														1	1						
pulmonary metastasis of clear cell renal cell carcinoma (laser resection)	24														1	1						
primary clear cell renal cell carcinoma	24														1	1						
unlesioned dorsal root ganglia pooled from 3 animals	24														1	1						
"brain, entorhino hippocampal connection (ehp)"	24														1	1						
dissected genital disc	24														1	1						
total roots	24														1	1						
guard cells taken for mature leaves of five week old plants	24														1	1						
cochlea	24														1	1						
node 4	24														1	1						
the green part	24														1	1						
"3rd, 4th, and 5th leaves"	24														1	1						
gracilis muscle	24														1	1						
medial thalamus	24														1	1						
4th leaves at 4 leaf stage	24														1	1						
spleens	24														1	1						
mandible precursor	24														1	1						
epicarp and mesocarp	24														1	1						
fetal brain	24														1	1						
fetal lung	23														1	1						
colon mucosa	23														1	1						
breast tumor tissue	23														1	1						
area postrema	23														1	1						
fruit exocarp	22														1	1						
right and left ventricles and septum	22														1	1						
rosette	22														1	1						
s2 tissue culture cells	22														1	1						
vastus lateralis muscle	22														1	1						
follicle	22														1	1						
leaf explants	22														1	1						
endometrial tissue	22														1	1						
seeds	22														1	1						
supraoptic nucleus	22														1	1						
whole eye	22														1	1						
tumour tissue	22														1	1						
high grade ovarian serous carcinoma	22														1	1						
transplanted heart	22														1	1						
"subcutaneous white adipose tissue, dorsal, in periischeum region"	22														1	1						
ascending colon biopsy	22														1	1						
il 16 knock out bone marrow derived macrophages	21														1	1						
bile duct	21														1	1						
glandular stomach	21														1	1						
bone	21														1	1						
whole homogenized left lung	21														1	1						
mammary carcinoma	21														1	1						
adipose tissue derived mesenchymal stem cells	21														1	1						
ovaries	21														1	1						
whole plants	21														1	1						
flowers	21														1	1						
fresh gist tumor sample	21														1	1						
bulk tumor	21														1	1						
berry	21														1	1						
rectus abdominus	21														1	1						
stomach biopsy	21														1	1						
vascular cambium	21														1	1						
islets	21														1	1						
calvarial bone	20														1	1						
normal lung	20														1	1						
musculus vastus lateralis	20														1	1						
total testicular	20														1	1						
purified pancreatic islets (pooled)	20														1	1						
recto sigmoid	20														1	1						
frozen biopsy specimen; germinal center like diffuse large b cell lymphoma	20														1	1						
globus pallidus interna	20														1	1						
mel 60	20														1	1						
mel 30	20														1	1						
ventral prostate	20														1	1						
blood of a donor pool of 5 healthy males.	20														1	1						
"mouse brain, hypothalamus, pvn"	20														1	1						
mixed	20														1	1						
upper half of seedling root	20														1	1						
mouse embryonic fibroblast (mef)	20														1	1						
cultured epidermis	20														1	1						
f. heteroclitus cardiac tissue.  fish were acclimated to laboratory conditions for approximately 6 months.	20														1	1						
non tumor part of breast tissue.	20														1	1						
10th rib middle layer backfat	20														1	1						
midgut	20														1	1						
schwannoma tumor	20														1	1						
frozen biopsy specimen; activated b cell like diffuse large b cell lymphoma	20														1	1						
peripheral blood mononuclear cells (pbmc)	20														1	1						
preneoplastic breast tissue	20														1	1						
vastus lateralis needle biopsy	20														1	1						
mammary tumor	20														1	1						
whole trachea	19														1	1						
eac tumor	19														1	1						
cambial tissue	19														1	1						
whole pup	19														1	1						
longissimus thoracis et lumborum muscle	19														1	1						
hibernoma	19														1	1						
full thickness vessel wall sample	19														1	1						
comprised of 10 cell lines for human giving broad gene coverage	19														1	1						
sciatic nerve	19														1	1						
lower half of seedling root	19														1	1						
brainstem	19														1	1						
testicular biopsies with cryptorchidism	19														1	1						
mouse myometrium	19														1	1						
bladder cancer	18														1	1						
left lung	18														1	1						
seedling roots	18														1	1						
cortex of rat brain	18														1	1						
whole embryos	18														1	1						
e10.5 forelimb buds	18														1	1						
renal inner medulla	18														1	1						
controlateral sinus (control)	18														1	1						
whole aorta	18														1	1						
adipose tissue (epididymal)	18														1	1						
foregut	18														1	1						
dissected external granular layer	18														1	1						
ileum epithelial cells	18														1	1						
human subcutaneous pre adipocytes	18														1	1						
inoculated spikelets	18														1	1						
substantia nigra pars compacta	18														1	1						
primary mammary tumor	18														1	1						
normal breast epithelium (laser capture microdissected)	18														1	1						
isolated thymocytes	18														1	1						
epididymis	18														1	1						
transverse colon biopsy	18														1	1						
adult zebrafish	18														1	1						
multiple cell lines spanning multiple tissue types	18														1	1						
e9.5 interlimb somites	18														1	1						
calvaria	18														1	1						
silique	18														1	1						
retina from both eyes	18														1	1						
intestinal colon mucosa	18														1	1						
"separated prostate lobe (vp, ap, and dlp) pool"	18														1	1						
skeletal muscle (gastrocnemius)	18														1	1						
glomeruli of human kidney	18														1	1						
berry skin	18														1	1						
pleura	18														1	1						
fracture callus	18														1	1						
human fat	18														1	1						
adult female	18														1	1						
normal. homogenized	17														1	1						
root tip	17														1	1						
cholangiocarcinoma	17														1	1						
human fetal testis	17														1	1						
15 20 embryos	17														1	1						
"posterior 3rd of inguinal gland, no lymph node"	17														1	1						
"cancer, homogenized"	17														1	1						
cervical spinal cord	17														1	1						
gubernaculum	17														1	1						
breat cancer tumor	17														1	1						
neuroblastoma	17														1	1						
metastasis	17														1	1						
ips cells	17														1	1						
fat body	17														1	1						
normal adjacent esophageal tissue	17														1	1						
breast vasculature tumor	17														1	1						
dissected legs	17														1	1						
human fetal ovary	17														1	1						
bronchial lymph node	16														1	1						
kaposi sarcoma lesion	16														1	1						
14 week old triceps	16														1	1						
albedo	16														1	1						
efferent duct	16														1	1						
14 week old gastrocnemius	16														1	1						
human monocyte	16														1	1						
outter stem tissue	16														1	1						
adult leaf	16														1	1						
reconstituted human epidermis	16														1	1						
caput epididymis	16														1	1						
"wing imaginal discs and a 90ÃçÂº sector from the posterior (p) compartment, leaving a 3/4 anterior (3/4 a) fragment (bosch et al. 2005)"	16														1	1						
initial segment of epididymis	16														1	1						
longissimus dorsi muscle	16														1	1						
malpighian tubule	16														1	1						
tassel	16														1	1						
newborn whole inner ears	16														1	1						
gonadal ridge	16														1	1						
regenerated human epidermis	16														1	1						
caudate putamen	16														1	1						
dorsal incisional wound tissue	16														1	1						
flowering competent ecodormant crown bud	16														1	1						
7 week old triceps	16														1	1						
bronchi	16														1	1						
duodenal	16														1	1						
blood of a pool of 5 healthy females	16														1	1						
maize flag leaves	16														1	1						
dissected dorsal head epidermis	16														1	1						
normal peripheral blood	16														1	1						
whole worm	16														1	1						
paradormant crown bud	16														1	1						
parietal lobe	16														1	1						
accumbens nucleus	16														1	1						
erythroid	16														1	1						
endodormant crown bud	16														1	1						
whole plant excluding roots	16														1	1						
"whole worm, first larva stage"	16														1	1						
striatal tissues	16														1	1						
duodenal intestinal epithelia	16														1	1						
cervical spinal cord tissues	16														1	1						
normal esophagus	16														1	1						
normal tissue in pancreatic cancer sample	16														1	1						
non flowering competent ecodormant crown bud	16														1	1						
secondary xylem	16														1	1						
normal kidney tissue	16														1	1						
human primary myotubes culture	16														1	1						
corresponding normal tissue	16														1	1						
fresh frozen lymph nodes	16														1	1						
pbmcs	16														1	1						
"brain, lateral cortex"	16														1	1						
7 week old gastrocnemius	16														1	1						
epidermal keratinocytes	16														1	1						
glioblastoma xenografts	16														1	1						
subcutaneous abdominal white adipose tissue	16														1	1						
musculus obliquus internus abdominis	15														1	1						
isolated germ cells	15														1	1						
eye	15														1	1						
part of liver	15														1	1						
disc tissue	15														1	1						
total aorta from root to bifurcation.	15														1	1						
dechorionated whole embryos	15														1	1						
adult mouse lymph nodes	15														1	1						
aortic root	15														1	1						
"breast tumor. breast tumor chemically induced with 7,12 dimethylbenz(a)anthracene at the moment of sacrifice."	15														1	1						
root epidermis hair cell nuclei	15														1	1						
pancreas islets	15														1	1						
panicle at booting stage	15														1	1						
soybean hypocotyl	15														1	1						
aleurone	15														1	1						
dissected dorsal abdominal epithelium	15														1	1						
isolated pericardial adipocytes	15														1	1						
lymph nodes	15														1	1						
ependymoma tissue	15														1	1						
normal colonic mucosa	15														1	1						
xenograft tumor	15														1	1						
n/a	15														1	1						
homogenized liver	15														1	1						
root epidermis non hair cell nuclei	15														1	1						
mammary artery	15														1	1						
urothelium	15														1	1						
snap frozen primary tumor	15														1	1						
left and right total retinas	15														1	1						
right cerebrum	15														1	1						
lung epithelial	15														1	1						
primary melanoma	15														1	1						
perinephric visceral adipose tissue	14														1	1						
root (root hair zone)	14														1	1						
lower central lung zone	14														1	1						
peripheral blood leukocytes	14														1	1						
amniotic fluid	14														1	1						
pool of dorsal lobe prostate stroma laser capture microdissected from three mice	14														1	1						
whole root	14														1	1						
breast vasculature normal	14														1	1						
primary pancreatic tumor	14														1	1						
intervertebral disc (ivd)	14														1	1						
primary root tip (5 mm)	14														1	1						
endometrial biopsy tissue	14														1	1						
pancreatic lymph nodes	14														1	1						
gata1 gfp+ erythroid progenitors	14														1	1						
head and neck	14														1	1						
callus	14														1	1						
silk gland	14														1	1						
omental adipose tissue	14														1	1						
sigmoid colon biopsy	14														1	1						
bronchus	14														1	1						
peripheral blood from 8 10 e12.5 embryos	14														1	1						
lam nodule	14														1	1						
primary mammospheres	14														1	1						
p10 cortex	14														1	1						
epididymal fat	14														1	1						
normal prostate from the peripheral gland zone	14														1	1						
liver biopsy specimens	13														1	1						
pituitary tumour	13														1	1						
salivary gland	13														1	1						
brain frontal lobe	13														1	1						
pulmonary artery	13														1	1						
isolated subcutaneous adipocytes	13														1	1						
low grade ovarian serous carcinoma	13														1	1						
neural tube	13														1	1						
dorsal mantle	13														1	1						
follicular thyroid carcinoma	13														1	1						
prolactin pituitary tumour	13														1	1						
prostate primary	13														1	1						
lymphoblastoid cell line	13														1	1						
anterior prostate tumor	13														1	1						
skin lesion	13														1	1						
primary mammary carcinoma	13														1	1						
caudate nucleus of the brain	13														1	1						
upper central lung zone	13														1	1						
flower	13														1	1						
endosperm	13														1	1						
human breast cancer cell	12														1	1						
subcutaneous fat	12														1	1						
non small cell lung cancer (nsclc) tumor	12														1	1						
mononuclear hematopoietic cells	12														1	1						
lateral entorhinal cortex neurons	12														1	1						
basolateral amygdala	12														1	1						
c26 murine colon carcinoma xenograft on balb/c mice	12														1	1						
1 leaf	12														1	1						
embryonic cardiac ventricle	12														1	1						
cell line from epidermal keratinocyte	12														1	1						
anterior/median silk gland	12														1	1						
myocardium	12														1	1						
adrenal	12														1	1						
inner fold	12														1	1						
medial entorhinal cortex neurons	12														1	1						
colon carcinoma	12														1	1						
visceral adipose tissue	12														1	1						
seedlings	12														1	1						
diffuse large b cell lymphoma clinical sample	12														1	1						
shca null mammary tumor	12														1	1						
feather pulp	12														1	1						
macrophages	12														1	1						
anterior pituitary gland	12														1	1						
primary mouse hepatocytes	12														1	1						
semimembranosus muscle	12														1	1						
human primary myotubes	12														1	1						
skeletal muscle tissue	12														1	1						
bone marrow from femurs and tibias	12														1	1						
above ground parts	12														1	1						
splenic lymphocytes	12														1	1						
heart/ left ventricle free wall	12														1	1						
lobular intraepithelial neoplasia grade 3 (lin3)	12														1	1						
